Site Id,Loc Id,State,Runway Id,Length,Width,Surface Type Condition,Surface Treatment,PCN,Edge Light Intensity,Length Source,Length Source Date,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base End Id,Base True Heading,Base ILS Type,Base Right Hand Traffic Pattern,Base Marking Type,Base Marking Condition,Base Latitude DMS,Base Latitude Seconds,Base Longitude DMS,Base Longitude Seconds,Base Elevation,Base Threshold Height,Base Visual Glide Path Angle,Base Displaced Latitude DMS,Base Displaced Latitude Seconds,Base Displaced Longitude DMS,Base Displaced Longitude Seconds,Base Displaced Elevation,Base Displaced Threshold Length,Base TDZ Elevation,Base VGSI,Base RVR,Base RVV,Base ALS,Base REIL,Base Centerline Lights,Base Touchdown Lights,Base Obstacle,Base Obstacle Marking Lighting,Base Obstacle Part77,Base Obstacle Clearance Slope,Base Obstacle Height Above Runway,Base Obstacle Distance From Runway,Base Obstacle Centerline Offset,Base Gradient,Base Gradient Direction,Base Position Source,Base Position Source Date,Base Elevation Source,Base Elevation Source Date,Base Displaced Position Source,Base Displaced Position Source Date,Base Elevation Position Source,Base Elevation Position Source Date,Base TDZ Elevation Source,Base TDZ Elevation Source Date,Base TORA,Base TODA,Base ASDA,Base LDA,Base LAHSO,Base LAHSO Id,Base LAHSO Desc,Base LAHSO Latitude DMS,Base LAHSO Latitude Seconds,Base LAHSO Longitude DMS,Base LAHSO Longitude Seconds,Base LAHSO Source,Base LAHSO Source Date,Reciprocal End Id,Reciprocal True Heading,Reciprocal ILS Type,Reciprocal Right Hand Traffic Pattern,Reciprocal Marking Type,Reciprocal Marking Condition,Reciprocal Latitude DMS,Reciprocal Latitude Seconds,Reciprocal Longitude DMS,Reciprocal Longitude Seconds,Reciprocal Elevation,Reciprocal Threshold Height,Reciprocal Visual Glide Path Angle,Reciprocal Displaced Latitude DMS,Reciprocal Displaced Latitude Seconds,Reciprocal Displaced Longitude DMS,Reciprocal Displaced Longitude Seconds,Reciprocal Displaced Elevation,Reciprocal Displaced Threshold Length,Reciprocal TDZ Elevation,Reciprocal VGSI,Reciprocal RVR,Reciprocal RVV,Reciprocal ALS,Reciprocal REIL,Reciprocal Centerline Lights,Reciprocal Touchdown Lights,Reciprocal Obstacle,Reciprocal Obstacle Marking Lighting,Reciprocal Obstacle Part77,Reciprocal Obstacle Clearance Slope,Reciprocal Obstacle Height Above Runway,Reciprocal Obstacle Distance From Runway,Reciprocal Obstacle Centerline Offset,Reciprocal Gradient,Reciprocal Gradient Direction,Reciprocal Position Source,Reciprocal Position Source Date,Reciprocal Elevation Source,Reciprocal Elevation Source Date,Reciprocal Displaced Position Source,Reciprocal Displaced Position Source Date,Reciprocal Elevation Position Source,Reciprocal Elevation Position Source Date,Reciprocal TDZ Elevation Source,Reciprocal TDZ Elevation Source Date,Reciprocal TORA,Reciprocal TODA,Reciprocal ASDA,Reciprocal LDA,Reciprocal LAHSO,Reciprocal LAHSO Id,Reciprocal LAHSO Desc,Reciprocal LAHSO Latitude DMS,Reciprocal LAHSO Latitude Seconds,Reciprocal LAHSO Longitude DMS,Reciprocal LAHSO Longitude Seconds,Reciprocal LAHSO Source,Reciprocal LAHSO Source Date,ICAO Id
00103.*A,0J0,AL,18/36,5000,75,ASPH-F,AFSC,,MED,3RD PARTY SURVEY,2025-06-17,,,,,18,172,,N,BSC,G,031-36-30.7000N,113790.6998N,085-14-22.7300W,0306862.7315W,464.7,44,3,,,,,,,468.3,P2L,,,,,,,TREES,,A(V),9,32,499,237R,,,3RD PARTY SURVEY,2025-06-17,3RD PARTY SURVEY,2025-06-17,,,,,3RD PARTY SURVEY,2025-06-17,,,,,,,,,,,,,,36,352,,N,BSC,G,031-35-41.6900N,113741.6853N,085-14-14.7900W,0306854.7913W,464.7,44,3,,,,,,,468.3,P2L,,,,,,,TREE,,A(V),12,9,316,98R,,,3RD PARTY SURVEY,2025-06-17,3RD PARTY SURVEY,2025-06-17,,,,,3RD PARTY SURVEY,2025-06-17,,,,,,,,,,,,,,
00106.*A,2A8,AL,05/23,2644,112,TURF-G,NONE,,,OWNER,2011-08-08,,,,,05,49,,,NSTD,,034-12-53.1000N,123173.1000N,087-09-41.2200W,0313781.2200W,786,,,,,,,,,,,,,,,,,TREES,,A(V),25,25,629,25R,,,OWNER,2011-08-08,FAA-EST IMAGERY,2010-09-29,,,,,,,,,,,,,,,,,,,,23,229,,,NSTD,,034-13-10.3200N,123190.3200N,087-09-17.5200W,0313757.5200W,776,,,,,,,,,,,,,,,,,TREES,,A(V),15,30,454,178L,,,OWNER,2011-08-08,FAA-EST IMAGERY,2010-09-29,,,,,,,,,,,,,,,,,,,,
00108.*A,AL03,AL,01/19,2002,60,TURF-G,NONE,,,,,,,,,01,,,,,,,,,,,,,,,,,,400,,,,,,,,,TREES,,A(V),,23,219,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,600,,,,,,,,,PLINE,,A(V),,25,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108.*A,AL03,AL,07/25,1104,60,TURF-G,NONE,,,,,,,,,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A(V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A(V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00110.01*H,AL39,AL,H1,50,50,CONC,NONE,,,,,,,,,H1,,,,,,033-15-00.4100N,119700.4100N,086-48-49.9600W,0312529.9600W,510,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2015-02-06,FAA-EST IMAGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00110.*A,EET,AL,16/34,5000,75,ASPH-G,NONE,,MED,STATE,2006-06-13,16,,,,16,157,,N,NPI,G,033-11-02.8100N,119462.8099N,086-47-10.9600W,0312430.9568W,572.7,57,3.5,,,,,,,572.7,P4L,,,,Y,,,TREE,,C,14,109,1823,510R,,,3RD PARTY SURVEY,2008-10-12,3RD PARTY SURVEY,2008-10-12,,,,,3RD PARTY SURVEY,2008-10-12,,,,,,,,,,,,,,34,337,,Y,NPI,G,033-10-17.2000N,119417.1992N,086-46-48.1800W,0312408.1798W,585.6,44,4,,,,,,,585.6,P4L,,,,Y,,,TREE,,C,20,64,1505,97R,,,3RD PARTY SURVEY,2008-10-12,3RD PARTY SURVEY,2008-10-12,,,,,3RD PARTY SURVEY,2008-10-12,,,,,,,,,,,,,,KEET
00112.1*A,BFZ,AL,05/23,6114,100,ASPH-G,GRVD,,MED,3RD PARTY SURVEY,2024-11-02,60,90,130,,05,48,,N,NPI,G,034-13-24.6800N,123204.6843N,086-15-47.9100W,0310547.9146W,1002.9,42,3,,,,,,,1015.4,P2L,,,,,,,TREES,,C,30,40,1414,178L,,,3RD PARTY SURVEY,2024-11-02,3RD PARTY SURVEY,2024-11-02,,,,,3RD PARTY SURVEY,2024-11-02,,,,,,,,,,,,,,23,228,,N,NPI,G,034-14-04.9000N,123244.8977N,086-14-53.5300W,0310493.5263W,1032.2,42,3,,,,,,,1032.3,P2L,,,,Y,,,TREES,,C,31,58,2046,329R,,,3RD PARTY SURVEY,2024-11-02,3RD PARTY SURVEY,2024-11-02,,,,,3RD PARTY SURVEY,2024-11-02,,,,,,,,,,,,,,KBFZ
00116.01*H,33AL,AL,H1,45,45,CONC-F,NONE,,PERI,OWNER,2020-10-07,,,,,H1,,,,BSC,F,032-55-48.2800N,118548.2800N,085-58-15.2700W,0309495.2700W,703,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,2020-10-07,OWNER,2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00116.*A,ALX,AL,18/36,5422,96,ASPH-F,GRVD,,MED,3RD PARTY SURVEY,2010-01-19,30,,,,18,178,,N,NPI,G,032-55-19.8700N,118519.8713N,085-57-48.0000W,0309468.0006W,685.8,57,3,032-55-13.7200N,118513.7182N,085-57-47.6900W,0309467.6853W,674.9,623,674.9,P4L,,,,,,,TREE,,C,15,129,2006,572R,,,3RD PARTY SURVEY,2010-01-19,3RD PARTY SURVEY,2010-01-19,3RD PARTY SURVEY,2010-01-19,3RD PARTY SURVEY,2010-01-19,3RD PARTY SURVEY,2010-01-19,,,,,,,,,,,,,,36,358,,N,NPI,G,032-54-26.2800N,118466.2822N,085-57-45.2500W,0309465.2549W,611.9,50,3,,,,,,,648.4,P4L,,,,Y,,,TREE,,C,19,46,1117,347L,,,3RD PARTY SURVEY,2010-01-19,3RD PARTY SURVEY,2010-01-19,,,,,3RD PARTY SURVEY,2010-01-19,,,,,,,,,,,,,,KALX
00119.*A,AIV,AL,06/24,5001,80,ASPH-F,NONE,,MED,NACO,2004-10-15,,,,,06,62,,N,NPI,P,033-06-12.5300N,119172.5300N,088-12-15.7000W,0317535.7000W,142.8,,,,,,,,,143.2,,,,,Y,,,TREE,,A(NP),20,22,640,114L,,,NACO,2004-10-15,NACO,2004-10-15,,,,,NACO,2004-10-15,,,,,,,,,,,,,,24,242,,N,NPI,P,033-06-36.0300N,119196.0300N,088-11-23.9600W,0317483.9600W,149.8,,,,,,,,,150,,,,,Y,,,TREE,L,A(NP),22,81,1983,73R,,,NACO,2004-10-15,NACO,2004-10-15,,,,,NACO,2004-10-15,,,,,,,,,,,,,,KAIV
00124.*A,79J,AL,11/29,6000,100,ASPH-G,NONE,,MED,NGS,2010-04-14,98,160,275,,11,107,,,NPI,F,031-18-38.5700N,112718.5737N,086-24-05.1500W,0311045.1514W,309.9,33,3,,,,,,,310.2,P4R,,,,Y,,,TREE,,C,25,102,2795,100R,,,NGS,2010-04-14,NGS,2010-04-14,,,,,AVN,2011-04-11,,,,,,,,,,,,,,29,287,,,NPI,G,031-18-21.5600N,112701.5636N,086-22-58.8900W,0310978.8933W,299.9,47,3.5,,,,,,,308.3,P4L,,,,Y,,,TREE,,C,24,54,1535,176L,,,NGS,2010-04-14,NGS,2010-04-14,,,,,AVN,2011-04-11,,,,,,,,,,,,,,
00128.01*H,AL42,AL,H1,50,50,CONC,NONE,,FLD,,,,,,,H1,,,,,,033-39-21.6200N,121161.6200N,085-49-28.0000W,0308968.0000W,772,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2015-10-29,FAA-EST IMAGERY,2015-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00128.02*H,04AL,AL,H1,60,60,ASPH,NONE,,,MILITARY,2023-11-16,,,,,H1,,,,,,033-37-35.0000N,121055.0000N,085-58-02.0000W,0309482.0000W,686,,,,,,,,,,,,,,,,,,,,,,,,,,MILITARY,2001-06-08,MILITARY,2001-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00128.*A,ANB,AL,05/23,7002,150,ASPH-G,GRVD,10 /F/C/X/T,HIGH,3RD PARTY SURVEY,2024-11-19,28,43,260,,05,48,ILS,Y,PIR,G,033-34-54.4500N,120894.4504N,085-52-00.1900W,0309120.1907W,594.6,40,3,,,,,,,595.2,P4L,,,MALSR,,,,,,PIR,50,,,,,,3RD PARTY SURVEY,2024-11-19,3RD PARTY SURVEY,2024-11-19,,,,,3RD PARTY SURVEY,2024-11-19,,,,,,,,,,,,,,23,228,,N,NPI,G,033-35-40.3700N,120940.3711N,085-50-58.2300W,0309058.2329W,612.1,39,3,,,,,,,612.1,P4L,,,,Y,,,,,C,34,,,,,,3RD PARTY SURVEY,2024-11-19,3RD PARTY SURVEY,2024-11-19,,,,,3RD PARTY SURVEY,2024-11-19,,,,,,,,,,,,,,KANB
